what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.perspectives.showPerspective,1389492966440
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.JavaPerspective,1389492966440
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1389492968375
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389492974786
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.edit.paste,1389492979420
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389492988468
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.file.import,1389492988483
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389493000698
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.edit.paste,1389493010729
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389493036337
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389493039660
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389493046526
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389493048523
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389493058709
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389493070269
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.edit.paste,1389493072703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389493092889
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1389493093950
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1389493094293
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1389493094340
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389493096087
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389493101516
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.edit.paste,1389493103747
started,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1389493104823
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.file.save,1389493105104
