what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1399521231345
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1399521231402
started,bundle,org.eclipse.epp.usagedata.ui,1.0.0.R200806162215,org.eclipse.epp.usagedata.ui,1399521231679
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1399521255862
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1399521257447
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1399521257618
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1399521267011
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1399521312560
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.newWizard,1399521312580
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1399521313894
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1399521352032
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1399521355776
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1399521358325
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.help.aboutAction,1399521358334
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1399521360501
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1399521588880
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1399521591925
started,bundle,com.android.ide.eclipse.ddms,8.0.1.v201012062107-82219,com.android.ide.eclipse.ddms,1399521592477
started,bundle,com.android.ide.eclipse.adt,8.0.1.v201012062107-82219,com.android.ide.eclipse.adt,1399521592892
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1399521597249
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1399521623485
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1399521626692
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1399521628811
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.help.aboutAction,1399521628819
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1399521629764
