what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1386418913079
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1386418913656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386418915403
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386419309425
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1386419310610
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386419314401
started,bundle,org.tigris.subversion.clientadapter.javahl,1.5.2,org.tigris.subversion.clientadapter.javahl,1386419321156
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.5.1.1,org.tigris.subversion.clientadapter.svnkit,1386419321156
started,bundle,com.android.ide.eclipse.ddms,8.0.1.v201012062107-82219,com.android.ide.eclipse.ddms,1386419321873
started,bundle,com.android.ide.eclipse.adt,8.0.1.v201012062107-82219,com.android.ide.eclipse.adt,1386419322373
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386419330750
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386419332809
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386419338270
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386419338301
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386419342076
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386419350813
started,bundle,org.eclipse.jdt.debug,3.4.0.v20080604,org.eclipse.jdt.debug,1386419353667
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1386419353808
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1386419354089
started,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1386419354260
started,bundle,org.eclipse.pde.core,3.4.0.v20080903-1700,org.eclipse.pde.core,1386419354354
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.1.v200807241900,org.eclipse.wst.jsdt.manipulation,1386419354978
started,bundle,org.eclipse.wst.jsdt.core,1.0.12.v200809120228,org.eclipse.wst.jsdt.core,1386419355305
started,bundle,org.eclipse.wst.jsdt.ui,1.0.12.v200809120228,org.eclipse.wst.jsdt.ui,1386419355493
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386419355945
