what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386255000499
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386255005371
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.edit.findReplace,1386255005400
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386255010350
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.file.save,1386255011450
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1386255014001
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1386255015022
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1386255015103
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.edit.delete,1386255019319
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.edit.undo,1386255021379
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.edit.delete,1386255030633
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.edit.delete,1386255030821
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.organize.imports,1386255039553
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.file.save,1386255040005
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1386255041779
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1386255063327
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1386255070586
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1386255070842
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1386255076311
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386255078171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386255080879
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386255081567
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386255308544
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1386255309409
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386255311293
